1,BANCO ITAU PARAGUAY S.A ,85787
2,CERVEPAR S.A. ,76756
3,BANCO NACIONAL DE FOMENTO ,63027
4,ADMINISTRACION NACIONAL DE ELECTRICIDAD - ANDE ,39276
5,AGRO SILO SANTA CATALINA SA ,33037
6,SERVICIOS Y PRODUCTOS MULTIMEDIOS S.A. ,29904
7,BANCO CONTINENTAL SA EMISORA DE CAPITAL ABIERTO ,29901
8,BEEF PARAGUAY S.A. ,28257
9,PARAGUAY REFRESCOS SA ,27900
10,AGROFERTIL SA ,27825
11,GARDEN AUTOMOTORES SA ,27823
12,INPASA DEL PARAGUAY S.A. ,27701
13,IMPORTADORA AUDI S.A. ,23615
14,CONTRIBUYENTE PERSONA FÍSICA ,23415
15,BANCO ATLAS S.A. ,22481
16,BANCO BILBAO VIZCAYA ARGENTARIA PARAGUAY S.A. ,21508
17,CONTRIBUYENTE PERSONA FÍSICA ,20199
18,NOVEX SA ,19911
19,CONTRIBUYENTE PERSONA FÍSICA ,19551
20,RETAIL S.A. ,19254
21,FRIGOMERC SA ,18957
22,PROSEGUR PARAGUAY SA ,18596
23,CITIBANK NA ,18285
24,BANCO GNB PARAGUAY SOCIEDAD ANONIMA ,17550
25,EMPRESA DE SERVICIOS SANITARIOS DEL PARAGUAY SA (ESSAP SA) ,15982
26,TABACALERA DEL ESTE SA ,15485
27,BANCO REGIONAL S.A.E.C.A. ,15113
28,BARCOS Y RODADOS SA ,15060
29,TECNOMYL S.A. ,15055
30,FLYTEC COMPUTERS S.A. ,14489
31,BANCARD SA ,13712
32,PETROLEOS PARAGUAYOS(PETROPAR) ,13644
33,SUDAMERIS BANK SAECA ,12875
34,QUIMFA S.A. ,12803
35,AXION ENERGY PARAGUAY SOCIEDAD DE RESPONSABILIDAD LIMITADA ,12551
36,ALEX SA ,12202
37,LABORATORIO DE PRODUCTOS ETICOS COMERCIAL E INDUSTRIAL SA ,12138
38,DOW AGROSCIENCES PARAGUAY SA ,11884
39,BANCO FAMILIAR SAECA ,11402
40,OCHO A SA (8A) ,11131
41,BRISTOL SA ,10869
42,AUTOMOTOR SA ,10814
43,FRIGORIFICO CONCEPCION S.A. ,10194
44,AGENCIA FINANCIERA DE DESARROLLO ,10119
45,MAPFRE PARAGUAY COMPAÑIA DE SEGUROS SA ,9917
46,TROCIUK COMPAÑIA AGRICOLA GANADERA INDUSTRIAL SA ,9877
47,INMOBILIARIA DEL ESTE SA ,9830
48,CONSORCIO RUTAS 2 Y 7 ,9378
49,AGB CONSTRUCTORA S.A. ,9247
50,INDUFAR COMERCIAL E INDUSTRIAL SA ,9237
51,CORP. PYA. DISTRI. DE DERIV. DE PETROLEO SA - COPETROL ,9051
