1,Estados Unidos,331002651,inglés
2,Brasil,212559417,po+2:28rtugués
3,México,126014024,español
4,Colombia,50882891,español
5,Argentina,47327407,español
6,Canad ,37742154,inglés
7,Per£,33149016,español
8,Venezuela,28435940,español
9,Chile,19116201,español
10,Ecuador,18058218,español
11,Guatemala,17915568,español
12,Bolivia,11673021,español
13,Cuba,11326616,español
14,Hait¡,11402528,francés
15,Rep£blica Dominicana,10847910,español
16,Honduras,9904607,español
17,Paraguay,7132538,español
18,Nicaragua,6624554,español
19,El Salvador,6486205,español
20,Costa Rica,5094118,español
21,Panam ,4314767,español
22,Uruguay,3473730,español
23,Jamaica,2961167,inglés
24,Puerto Rico,2860853,español
25, Trinidad y Tobago,1399488,inglés
26, Guyana,786552,inglés
27,Surinam,586632,neerlandés
28,Belice,397628,inglés
29,Bahamas,393244,inglés
30,Barbados,287375,inglés
31,Santa Luc¡a,183627,inglés
32,Granada,112523,inglés
33,San Vicente y las Granadinas,110940,inglés
34,Antigua y Barbuda,97929,inglés
35,Dominica,71986,inglés
36,San Cristbal y Nieves,53199,inglés
